 V3         V_out:Iss=5.00e-07        
-2.00000000e-02  7.39365474e-01 
-1.90000000e-02  7.57062806e-01 
-1.80000000e-02  7.76013006e-01 
-1.70000000e-02  7.96300456e-01 
-1.60000000e-02  8.18009285e-01 
-1.50000000e-02  8.41221752e-01 
-1.40000000e-02  8.66016389e-01 
-1.30000000e-02  8.92466007e-01 
-1.20000000e-02  9.20635629e-01 
-1.10000000e-02  9.50580497e-01 
-1.00000000e-02  9.82344282e-01 
-9.00000000e-03  1.01595764e+00 
-8.00000000e-03  1.05143722e+00 
-7.00000000e-03  1.08878526e+00 
-6.00000000e-03  1.12798971e+00 
-5.00000000e-03  1.16902498e+00 
-4.00000000e-03  1.21185315e+00 
-3.00000000e-03  1.25642558e+00 
-2.00000000e-03  1.30268469e+00 
-1.00000000e-03  1.35056591e+00 
 7.63278329e-17  1.39999945e+00 
 1.00000000e-03  1.45091191e+00 
 2.00000000e-03  1.50322753e+00 
 3.00000000e-03  1.55686898e+00 
 4.00000000e-03  1.61175772e+00 
 5.00000000e-03  1.66781382e+00 
 6.00000000e-03  1.72495518e+00 
 7.00000000e-03  1.78309631e+00 
 8.00000000e-03  1.84214662e+00 
 9.00000000e-03  1.90200835e+00 
 1.00000000e-02  1.96257430e+00 
 1.10000000e-02  2.02372560e+00 
 1.20000000e-02  2.08532985e+00 
 1.30000000e-02  2.14724001e+00 
 1.40000000e-02  2.20929438e+00 
 1.50000000e-02  2.27131805e+00 
 1.60000000e-02  2.33312603e+00 
 1.70000000e-02  2.39452792e+00 
 1.80000000e-02  2.45533391e+00 
 1.90000000e-02  2.51536148e+00 
 2.00000000e-02  2.57444198e+00 
 2.10000000e-02  2.63242646e+00 
 2.20000000e-02  2.68919002e+00 
 2.30000000e-02  2.74463438e+00 
 2.40000000e-02  2.79868852e+00 
 2.50000000e-02  2.85130771e+00 
 2.60000000e-02  2.90247127e+00 
 2.70000000e-02  2.95217943e+00 
 2.80000000e-02  3.00044989e+00 
 2.90000000e-02  3.04731424e+00 
 3.00000000e-02  3.09281466e+00 
 3.10000000e-02  3.13700094e+00 
 3.20000000e-02  3.17992796e+00 
 3.30000000e-02  3.22165365e+00 
 3.40000000e-02  3.26223726e+00 
 3.50000000e-02  3.30173817e+00 
 3.60000000e-02  3.34021490e+00 
 3.70000000e-02  3.37772441e+00 
 3.80000000e-02  3.41432167e+00 
 3.90000000e-02  3.45005932e+00 
 4.00000000e-02  3.48498750e+00 
 4.10000000e-02  3.51915378e+00 
 4.20000000e-02  3.55260314e+00 
 4.30000000e-02  3.58537802e+00 
 4.40000000e-02  3.61751837e+00 
 4.50000000e-02  3.64906179e+00 
 4.60000000e-02  3.68004362e+00 
 4.70000000e-02  3.71049706e+00 
 4.80000000e-02  3.74045330e+00 
 4.90000000e-02  3.76994166e+00 
 5.00000000e-02  3.79898970e+00 
